participant_id,created_at,demographics,runs,has_run
49YaXj0ubINMMhIBWm7HoP2Aw9L2,2025-12-10T13:40:46.742000+00:00,"{'age': 30, 'clarityNow': 7, 'screenTime': 4, 'flow': 'Often', 'deepWork': '1–2 hours', 'meditation': 'Occasionally', 'gender': 'Prefer not to say', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'No'}",,
4FE30fbOeHV1BsLOm77PKDrgDg13,2025-12-23T14:55:33.212000+00:00,"{'age': 53, 'clarityNow': 7, 'screenTime': 12, 'flow': 'Occasionally', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Never', 'autism': 'No'}",,
4dIkVs0xKFbZVCwBdxvVBxY5Ix52,2025-10-07T21:16:01.838000+00:00,"{'age': 101, 'clarityNow': 2, 'screenTime': 11, 'flow': 'Rarely', 'deepWork': 'Less than 1 hour', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}",,
4fkOou1KRARndAN85xUjWXGMeV22,2025-12-19T11:04:37.282000+00:00,"{'age': 41, 'clarityNow': 10, 'screenTime': 12, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, daily', 'gender': 'Prefer not to say', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Sometimes', 'autism': 'No'}",,
4s1SvCkqKxN2vbgfmiuz3VlVIEd2,2025-12-19T07:31:10.371000+00:00,"{'age': 22, 'clarityNow': 7, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'More than 2 hours', 'diagnosis': 'Not sure / Self-diagnosed', 'autism': 'Not sure / Self-diagnosed', 'meditation': 'Rarely or never', 'scrolling': 'Frequently', 'gender': 'Male'}",,
5BVUOs1ELVhM42HDWZZwFXSrQEI3,2025-12-10T12:42:54.185000+00:00,"{'age': 55, 'clarityNow': 7, 'screenTime': 2, 'flow': 'Often', 'deepWork': 'Less than 1 hour', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}",,
5uQ9ekOU86NccZEGRpjlh0Z3VDg1,2025-10-01T19:03:48.456000+00:00,"{'age': 59, 'clarityNow': 3, 'screenTime': 5, 'flow': 'Occasionally', 'deepWork': 'Less than 1 hour', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}",,
7DJjZoMDVVPNQxRgxZf6xKKIzo23,2025-12-24T00:05:47.618000+00:00,"{'age': 45, 'clarityNow': 7, 'screenTime': 9, 'flow': 'Occasionally', 'psiPossibility': 'I am skeptical', 'deepWork': 'More than 2 hours', 'meditation': 'Occasionally', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}",,
7bG7jbAkNUb0Dfp60wj9W0EvLc62,2025-09-07T04:00:51.119000+00:00,"{'age': '57', 'clarityNow': '8', 'screenTime': '10', 'flow': 'Often', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, daily', 'gender': 'Female', 'autism': 'Yes', 'scrolling': 'Frequently', 'diagnosis': 'Yes'}",2.0,True
7t9F2O7DMSZfV8SsCC34SuImbFl2,2025-10-30T16:20:00.166000+00:00,"{'age': '108', 'clarityNow': '9', 'flow': 'Often', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Yes', 'scrolling': 'Frequently', 'autism': 'Yes'}",1.0,True
88Dwn1xyCNgoCf4dqlQwVcG1MZO2,2025-12-09T20:58:14.214000+00:00,"{'age': 22, 'clarityNow': 7, 'screenTime': 6, 'flow': 'Rarely', 'deepWork': 'Rarely or never', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'No'}",,
8EVYzQ5b2Ocbv84TChWAb3rwVVk1,2025-12-28T06:58:12.137000+00:00,"{'age': 36, 'clarityNow': 3, 'screenTime': 4, 'flow': 'Rarely', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'Less than 1 hour', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'Not sure / Self-diagnosed'}",,
8F8PS4DJDybCeQepz2jyPy0siLW2,2025-12-15T18:09:50.039000+00:00,"{'age': 34, 'clarityNow': 5, 'screenTime': 8, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'meditation': 'Occasionally', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Rarely', 'autism': 'Yes'}",,
8UWfHqpXDegsa1wjs6FZ5OBUl7L2,2025-12-20T12:58:36.911000+00:00,"{'age': 29, 'clarityNow': 6, 'screenTime': 2, 'flow': 'Often', 'psiPossibility': 'I am open to the possibility', 'deepWork': '1–2 hours', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}",,
9W2xGEIXsgZ9amiiOUtIjBuzd6u2,2025-12-25T12:24:58.674000+00:00,"{'age': 34, 'clarityNow': 6, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': '1–2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Male', 'diagnosis': 'Yes', 'scrolling': 'Sometimes', 'autism': 'Yes'}",,
9joTCsso5ePvb65JDWD8ncymAeC3,2025-12-22T16:44:45.078000+00:00,"{'age': 26, 'clarityNow': 6, 'screenTime': 9, 'flow': 'Often', 'psiPossibility': 'I am open to the possibility', 'deepWork': '1–2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'Not sure / Self-diagnosed'}",,
9ujsEs28EeVRcQuqpSRCC2DqJIY2,2025-12-09T20:18:43.941000+00:00,"{'age': 39, 'clarityNow': 7, 'screenTime': 5, 'flow': 'Rarely', 'deepWork': 'Less than 1 hour', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}",,
AQgiamiFmgNOlLgvIGtjE0LVITa2,2025-12-15T23:52:42.138000+00:00,"{'age': 32, 'clarityNow': 7, 'screenTime': 4, 'flow': 'Often', 'psiPossibility': 'I am open to the possibility', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Male', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}",,
Aq2dLPa7cJQg3XGThdhAPjL0VEi2,2025-12-15T13:02:35.612000+00:00,"{'age': 25, 'clarityNow': 7, 'screenTime': 7, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': '1–2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Female', 'diagnosis': 'Yes', 'scrolling': 'Frequently', 'autism': 'Yes'}",,
AuEnmUwHpJNJWHW5ljRLYUt0vGz1,2025-12-15T17:38:32.497000+00:00,"{'age': 22, 'clarityNow': 6, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'No way / Impossible', 'deepWork': 'Less than 1 hour', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}",,
AyLVv9vZWwPs0lod8EARGwjvAkT2,2025-12-08T23:45:03.714000+00:00,"{'age': 21, 'clarityNow': 8, 'screenTime': 7, 'flow': 'Occasionally', 'deepWork': 'Less than 1 hour', 'meditation': 'Rarely or never', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}",,
CP73O6wbUqQxYsGr9gClO1EtVpX2,2025-12-28T15:45:51.246000+00:00,"{'age': 25, 'clarityNow': 6, 'screenTime': 7, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': '1–2 hours', 'diagnosis': 'Not sure / Self-diagnosed', 'autism': 'Yes', 'meditation': 'Yes, a few times per week', 'scrolling': 'Frequently', 'gender': 'Female'}",,
CklhQJa7ePd5XgyF9xUqRtHATYx2,2025-12-17T05:30:48.984000+00:00,"{'age': 24, 'clarityNow': 8, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am skeptical', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Sometimes', 'autism': 'No'}",,
D9tGkMVssiWLuxLbuTUwH8DrcHh2,2025-12-23T12:11:16.667000+00:00,"{'age': 19, 'clarityNow': 8, 'screenTime': 6, 'flow': 'Occasionally', 'psiPossibility': 'No way / Impossible', 'deepWork': 'Less than 1 hour', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'Yes'}",,
DWy8KT2s13cG1vK0GfpoF3NMdwd2,2025-12-28T23:05:03.078000+00:00,"{'age': 28, 'clarityNow': 4, 'screenTime': 2, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'Yes', 'scrolling': 'Sometimes', 'autism': 'No'}",,
DebDnIUOmlYT5hOg1YcnLNFcef33,2025-12-14T15:30:49.901000+00:00,"{'age': 50, 'clarityNow': 4, 'screenTime': 4, 'flow': 'Often', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'More than 2 hours', 'meditation': 'Occasionally', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Rarely', 'autism': 'No'}",,
E1tNI5xeLCfv9u5Qp5P7E7RMcA72,2025-12-09T17:20:08.726000+00:00,"{'age': 24, 'clarityNow': 3, 'screenTime': 2, 'flow': 'Often', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, daily', 'gender': 'Male', 'diagnosis': 'Yes', 'scrolling': 'Frequently', 'autism': 'No'}",,
EIp3IGoh19Qy51naTInvupRTCWz1,2025-12-09T01:37:10.459000+00:00,"{'age': 52, 'clarityNow': 8, 'screenTime': 3, 'flow': 'Occasionally', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, daily', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}",,
EViKvbVYn7bauXswsp2wJQvcnYJ3,2025-12-16T05:14:12.401000+00:00,"{'age': 32, 'clarityNow': 8, 'screenTime': 5, 'flow': 'Often', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Less than 1 hour', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'Not sure / Self-diagnosed'}",,
FH9c5zEf54RFbYBQM80ijovCOIh1,2025-11-25T02:33:51.597000+00:00,"{'age': 68, 'clarityNow': 7, 'screenTime': 8, 'flow': 'Often', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'Not sure / Self-diagnosed'}",,
FPwkceasn3Tn7fH6xfChhaGlSAf2,2025-12-10T01:45:27.854000+00:00,"{'age': 37, 'clarityNow': 10, 'screenTime': 4, 'flow': 'Often', 'deepWork': 'More than 2 hours', 'meditation': 'Occasionally', 'gender': 'Male', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Sometimes', 'autism': 'No'}",,
FQmtTaw4DHXLYji7UckZVB8tFBe2,2025-12-16T21:58:07.248000+00:00,"{'age': 18, 'clarityNow': 7, 'screenTime': 12, 'flow': 'Often', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Less than 1 hour', 'meditation': 'Occasionally', 'gender': 'Prefer not to say', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}",,
Fgyz9dXRLYVtqxjpXxKdoAuiNLq2,2025-12-27T16:22:57.032000+00:00,"{'age': 42, 'clarityNow': 4, 'screenTime': 7, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'diagnosis': 'Yes', 'autism': 'Yes', 'meditation': 'Occasionally', 'scrolling': 'Sometimes', 'gender': 'Nonbinary'}",,
FnMVWpBLoaaG8mUYj3SnG2lfx6I2,2025-12-08T22:11:30.794000+00:00,"{'age': 28, 'clarityNow': 3, 'screenTime': 2, 'flow': 'Often', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}",,
Fo8fJ6gtqtWyhzUVBFelimAPi473,2025-12-08T09:07:16.374000+00:00,"{'age': '19', 'flow': 'Often', 'deepWork': 'More than 2 hours', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}",,
GMpu5WVN9hWiZK5NcbT89wMCWzF2,2025-12-27T04:28:57.663000+00:00,"{'age': 35, 'clarityNow': 7, 'screenTime': 6, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'meditation': 'Rarely or never', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'Yes'}",,
GkDR0s3OA6eW6Maa6bFVoy37y6b2,2025-12-23T10:51:56.470000+00:00,"{'age': 46, 'clarityNow': 10, 'screenTime': 3, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': '1–2 hours', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'Yes'}",,
HX4YSxNsB8RWWSagi6mhVVCkSsV2,2025-12-28T17:04:34.648000+00:00,"{'age': 28, 'clarityNow': 7, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'More than 2 hours', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Sometimes', 'autism': 'No'}",,
IFKhCCBbojRgb8OYOlUj173lCwn2,2025-12-18T02:51:00.296000+00:00,"{'age': 45, 'clarityNow': 4, 'screenTime': 8, 'flow': 'Rarely', 'psiPossibility': 'I am open to the possibility', 'deepWork': '1–2 hours', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}",,
IQAnnGhRS3h9GSYO4lUwgTKmFga2,2025-12-16T10:13:56.547000+00:00,"{'age': 44, 'clarityNow': 6, 'screenTime': 12, 'flow': 'Occasionally', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': '1–2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Male', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Sometimes', 'autism': 'No'}",,
IwnoSEjDAaX5T2NzmJf6n2eh56I2,2025-12-22T18:49:07.105000+00:00,"{'age': 50, 'clarityNow': 7, 'screenTime': 2, 'flow': 'Often', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Less than 1 hour', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'No'}",,
JGY7u87hp9Z6XhR1KaW8CIAHk5Z2,2026-01-07T23:15:39.707000+00:00,"{'age': 36, 'clarityNow': 5, 'screenTime': 5, 'flow': 'Often', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'More than 2 hours', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'No'}",,
JJTT4vvBIFOW5OyAKrke4hny9q43,2025-12-29T15:13:43.048000+00:00,"{'age': 24, 'clarityNow': 4, 'screenTime': 2, 'flow': 'Often', 'psiPossibility': 'I am skeptical', 'deepWork': 'More than 2 hours', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'No'}",,
JaOw479Y97RCLr3CjZUSkbc4XSo2,2025-12-10T18:48:32.165000+00:00,"{'age': 20, 'clarityNow': 7, 'screenTime': 6, 'flow': 'Occasionally', 'psiPossibility': 'No way / Impossible', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}",,
KPhgxq6F6SVY1dVbUSztx9ejiQf2,2025-12-10T08:13:32.045000+00:00,"{'age': 18, 'clarityNow': 7, 'screenTime': 8, 'flow': 'Occasionally', 'deepWork': 'More than 2 hours', 'meditation': 'Rarely or never', 'gender': 'Male', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'Not sure / Self-diagnosed'}",,
KS0OSWtdmCY0Pz5uMO6h9xso8YK2,2025-12-01T17:14:05.474000+00:00,"{'age': 59, 'clarityNow': 6, 'screenTime': 4, 'flow': 'Occasionally', 'deepWork': 'Less than 1 hour', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}",,
LGkD3XLzLHN5fUzXyagGT6VnCnt2,2025-12-28T10:10:50.669000+00:00,"{'age': 31, 'clarityNow': 10, 'screenTime': 2, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Never', 'autism': 'No'}",,
MBuMvadQZnTWbmlg8jtU6RSBMdt2,2025-12-25T17:01:34.618000+00:00,"{'age': 25, 'clarityNow': 10, 'screenTime': 5, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, daily', 'gender': 'Female', 'autism': 'No', 'scrolling': 'Never', 'diagnosis': 'Yes'}",,
MVdtDLou5kRWYQKddOU27Jsvhxx2,2025-12-15T17:08:11.820000+00:00,"{'age': 40, 'clarityNow': 6, 'screenTime': 1, 'flow': 'Rarely', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Female', 'diagnosis': 'Yes', 'scrolling': 'Sometimes', 'autism': 'Not sure / Self-diagnosed'}",,
NWKjx0BNt4PzTlPM2h8SDX3cA132,2025-12-09T20:38:52.854000+00:00,"{'age': 54, 'clarityNow': 3, 'screenTime': 2, 'flow': 'Occasionally', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Rarely', 'autism': 'No'}",,
NjYWSpVKgjexR6zlVDFLRwjMGb12,2025-12-09T21:04:31.561000+00:00,"{'age': 18, 'clarityNow': 3, 'screenTime': 4, 'flow': 'Never', 'deepWork': 'Less than 1 hour', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}",,
O3u5239kWudPqZuq1dMfKOtIEG42,2025-12-11T23:08:49.401000+00:00,"{'age': 26, 'clarityNow': 6, 'screenTime': 7, 'flow': 'Occasionally', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Male', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}",,
OBysqURkMxRSrJF0BVYPccpyw4V2,2025-12-19T13:57:32.301000+00:00,"{'age': 37, 'clarityNow': 5, 'screenTime': 8, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'Not sure / Self-diagnosed'}",,
OP4lnA4nW9cVUwE2d4VCQnnwSjf1,2025-12-22T15:10:01.490000+00:00,"{'age': 22, 'clarityNow': 4, 'screenTime': 3, 'flow': 'Often', 'psiPossibility': 'No way / Impossible', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'No'}",,
OqwRuW4z58bFpP9RD3IXdrw8a2h2,2025-12-17T16:03:58.501000+00:00,"{'age': 43, 'clarityNow': 4, 'screenTime': 1, 'flow': 'Often', 'psiPossibility': 'I am skeptical', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Rarely', 'autism': 'No'}",,
PPYPtp0xGgdNa2HgQPeHJXu45QG2,2025-12-20T18:27:59.385000+00:00,"{'age': 32, 'clarityNow': 8, 'screenTime': 5, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'diagnosis': 'Yes', 'autism': 'Yes', 'meditation': 'Yes, daily', 'scrolling': 'Frequently', 'gender': 'Female'}",,
PVvwfKW8a7NGGw4wiljFa4Y0EtX2,2025-12-11T16:01:29.385000+00:00,"{'age': 20, 'clarityNow': 6, 'screenTime': 6, 'flow': 'Occasionally', 'psiPossibility': 'No way / Impossible', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}",,
